,arch_id,uniqArch,score,time,acc
0,0,(0)@avg_pool_3x3+(0)@avg_pool_3x3+(0)@nor_conv_1x1+(0)@nor_conv_1x1,1281.5489501953125,0.0552384520015039,28.21111109246148
1,1,((0)@nor_conv_3x3)@avg_pool_3x3+(0)@nor_conv_3x3+((0)@nor_conv_3x3)@nor_conv_3x3+0,1380.63134765625,0.0584188670000003,44.48888885158963
2,2,(((0)@avg_pool_3x3)@nor_conv_3x3+(0)@nor_conv_3x3)@avg_pool_3x3+((0)@avg_pool_3x3)@avg_pool_3x3+(0)@avg_pool_3x3,1263.2645263671875,0.0429760010010795,27.63333330451117
3,3,#+#+#+0,1047.41259765625,0.0288098700002592,29.43333333672417
4,4,((0)@nor_conv_1x1+0)@nor_conv_1x1+0+0,1309.5970458984375,0.0411156449990812,32.14444441053603
5,5,#+(((0)@nor_conv_1x1)@nor_conv_1x1+0)@avg_pool_3x3+(0)@nor_conv_3x3,1363.4605712890625,0.0538780209972173,37.87777772691515
6,6,(#+#)@nor_conv_3x3+((0)@nor_conv_3x3)@nor_conv_3x3+(0)@avg_pool_3x3,1321.220947265625,0.0535664839990204,38.84444436645508
7,7,#+(#+0)@nor_conv_3x3+0,1243.1300048828125,0.0437645030033309,40.1333332502577
8,8,#+((0)@avg_pool_3x3+(0)@nor_conv_1x1)@nor_conv_3x3+0,1327.38818359375,0.0448122029993101,41.02222215101454
9,9,#+(#+#)@nor_conv_3x3+0,1053.22119140625,0.035451241001283,29.399999991522893
10,10,#+#+#,1056.087158203125,0.0508103110005322,0.8333333324856228
11,11,#+(((0)@nor_conv_3x3)@avg_pool_3x3+(0)@nor_conv_3x3)@avg_pool_3x3+((0)@nor_conv_3x3)@nor_conv_3x3,1371.5836181640625,0.0539358729984087,30.411111104329425
12,12,#+#+(#+#)@avg_pool_3x3,-inf,0.0381400650003342,0.8333333322736953
13,13,#+(#+(0)@avg_pool_3x3)@nor_conv_1x1+(0)@nor_conv_3x3,1329.096923828125,0.0477978989983967,38.18888882107205
14,14,#+#+(0)@nor_conv_3x3,1383.53662109375,0.0521615959987684,38.97777775404188
15,15,#+((0)@avg_pool_3x3+0)@avg_pool_3x3+0,982.0927124023438,0.0335086859995499,13.711111083136664
16,16,#+((0)@nor_conv_3x3+0)@nor_conv_3x3+0,1331.149169921875,0.0423396890000731,42.48888886854383
17,17,(((0)@avg_pool_3x3)@nor_conv_1x1+0)@nor_conv_1x1+(0)@avg_pool_3x3+(0)@nor_conv_1x1,1357.46875,0.0506454150017816,36.57777777438693
18,18,(((0)@avg_pool_3x3)@nor_conv_3x3+(0)@avg_pool_3x3)@nor_conv_1x1+(0)@avg_pool_3x3+(0)@nor_conv_3x3,1354.883544921875,0.0470488130013109,37.97777773708768
19,19,#+((0)@nor_conv_3x3)@avg_pool_3x3+(0)@avg_pool_3x3,1343.95361328125,0.0477500980014156,30.44444441562229
20,20,#+(#+(0)@avg_pool_3x3)@nor_conv_3x3+0,1230.16162109375,0.0426049439993221,34.20000001017252
21,21,#+((0)@nor_conv_1x1)@nor_conv_3x3+(0)@nor_conv_1x1,1391.825439453125,0.0497736300021642,42.56666659206815
22,22,(#+(0)@avg_pool_3x3)@nor_conv_1x1+((0)@avg_pool_3x3)@avg_pool_3x3+(0)@nor_conv_3x3,1309.1893310546875,0.042400196998642,35.48888881089952
23,23,((0)@avg_pool_3x3+(0)@nor_conv_3x3)@avg_pool_3x3+(0)@nor_conv_3x3+(0)@nor_conv_3x3,1351.8668212890625,0.0503798719983024,35.299999966091576
24,24,#+((0)@nor_conv_1x1+0)@avg_pool_3x3+0,1204.507080078125,0.0355980489985086,27.82222221374512
0,25,#+#+#+0,1047.41259765625,0.0288098700002592,29.12222214423285
